task_id,method,repetition,time_min,time_to_pipeline_min,exec_success,operator_errors,strict_errors,field_errors,hallucinated,missing_required,wrong_order,unexpected,n_create_pipeline_calls,n_render_pipeline_calls,n_execute_pipeline_calls_by_agent,n_valid_records,n_total_records,final_chain
1a_qa_basic,dataflow_agent,0,,1.0880337198575338,0,2,1,0,0,1,0,1,1,1,0,0,1,SFTGeneratorSeed
1a_qa_basic,dataflow_agent,1,,0.9400638024012248,0,2,1,0,0,1,0,1,1,1,0,0,1,SFTGeneratorSeed
1a_qa_basic,dataflow_agent,2,,2.385879079500834,0,2,1,0,0,1,0,1,2,1,0,0,1,SFTGeneratorSeed
1a_qa_basic,dataflow_agent,3,,1.0564607659975687,0,2,1,0,0,1,0,1,1,1,0,0,1,SFTGeneratorSeed
1a_qa_basic,dataflow_agent,4,1.934719161192576,1.4682525277137757,0,2,1,0,0,1,0,1,1,1,0,0,8,SFTGeneratorSeed
1a_qa_basic,df_agent_v2,0,3.395191792647044,2.360798180103302,0,2,1,0,0,1,0,1,1,1,0,0,8,SFTGeneratorSeed
1a_qa_basic,df_agent_v2,1,,1.4487544775009156,0,2,1,0,0,1,0,1,1,1,0,0,1,SFTGeneratorSeed
1a_qa_basic,df_agent_v2,2,,2.4204733769098916,0,2,1,0,0,1,0,1,1,1,0,0,1,SFTGeneratorSeed
1a_qa_basic,df_agent_v2,3,,4.037799191474915,0,4,1,0,0,1,0,3,2,1,0,0,1,SFTGeneratorSeed | ReasoningAnswerExtractionQwenMathEvalGenerator | ReasoningPseudoAnswerGenerator
1a_qa_basic,df_agent_v2,4,2.6283983548482257,1.8615959962209065,0,2,1,0,0,1,0,1,1,1,0,0,8,SFTGeneratorSeed
1a_qa_basic,direct_cc,0,,,0,1,1,0,0,1,0,0,0,0,0,0,0,
1a_qa_basic,direct_cc,1,,,0,1,1,0,0,1,0,0,0,0,0,0,0,
1a_qa_basic,direct_cc,2,,,0,1,1,0,0,1,0,0,0,0,0,0,0,
1a_qa_basic,direct_cc,3,,,0,1,1,0,0,1,0,0,0,0,0,0,0,
1a_qa_basic,direct_cc,4,,,0,1,1,0,0,1,0,0,0,0,0,0,0,
1a_qa_basic,mcp_only,0,,0.9046302556991577,0,2,1,0,0,1,0,1,1,1,0,0,1,SFTGeneratorSeed
1a_qa_basic,mcp_only,1,1.5938728292783102,1.1469530582427978,0,2,1,0,0,1,0,1,1,1,0,0,8,SFTGeneratorSeed
1a_qa_basic,mcp_only,2,,0.8269348820050557,0,2,1,0,0,1,0,1,1,1,0,0,1,SFTGeneratorSeed
1a_qa_basic,mcp_only,3,,0.9718840638796489,0,2,1,0,0,1,0,1,1,1,0,0,1,SFTGeneratorSeed
1a_qa_basic,mcp_only,4,,1.375414737065633,0,0,0,0,0,0,0,0,1,1,0,0,0,Text2MultiHopQAGenerator
1b_qa_with_filter,dataflow_agent,0,5.194420039653778,1.2587541699409486,0,6,3,0,0,3,0,3,2,1,0,0,8,SFTGeneratorSeed | AlpagasusSampleEvaluator | AlpagasusFilter
1b_qa_with_filter,dataflow_agent,1,2.2370089292526245,1.1244017680486043,0,6,3,0,0,3,0,3,1,1,0,0,8,SFTGeneratorSeed | AlpagasusSampleEvaluator | AlpagasusFilter
1b_qa_with_filter,dataflow_agent,2,,1.1035314162572225,0,6,3,0,0,3,0,3,1,1,0,0,1,SFTGeneratorSeed | AlpagasusSampleEvaluator | AlpagasusFilter
1b_qa_with_filter,dataflow_agent,3,,1.355477766195933,0,6,3,0,0,3,0,3,1,1,0,0,1,KBCMultiHopQAGeneratorBatch | AlpagasusSampleEvaluator | AlpagasusFilter
1b_qa_with_filter,dataflow_agent,4,,1.4416780392328898,0,6,3,0,0,3,0,3,1,1,0,0,1,SFTGeneratorSeed | AlpagasusSampleEvaluator | AlpagasusFilter
1b_qa_with_filter,df_agent_v2,0,,3.7865078449249268,0,6,3,0,0,3,0,3,1,1,0,0,1,SFTGeneratorSeed | AlpagasusSampleEvaluator | AlpagasusFilter
1b_qa_with_filter,df_agent_v2,1,,4.719667156537374,0,6,3,0,0,3,0,3,1,1,0,0,1,SFTGeneratorSeed | AlpagasusSampleEvaluator | AlpagasusFilter
1b_qa_with_filter,df_agent_v2,2,,1.9230487068494162,0,3,3,0,0,3,0,0,1,1,0,0,1,PromptedGenerator | PromptedEvaluator | GeneralFilter
